sku_id,forecast_date,horizon_day,champion_model,forecast_quantity,p10,p50,p90,forecast_generation_method,interval_generation_method,future_forecast_warning_codes,event_flag,event_name,event_uplift_factor,day_of_week,month,week_of_year
SKU-BAT-008,2026-07-01,1,random_forest,6.9753,6.0888,6.9753,6.9753,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,2,7,27
SKU-BAT-008,2026-07-02,2,random_forest,7.3562,6.4697,7.3562,7.3562,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,3,7,27
SKU-BAT-008,2026-07-03,3,random_forest,7.3562,6.4697,7.3562,7.3562,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,4,7,27
SKU-BAT-008,2026-07-04,4,random_forest,7.3895,6.503,7.3895,7.3895,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,5,7,27
SKU-BAT-008,2026-07-05,5,random_forest,7.3895,6.503,7.3895,7.3895,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,6,7,27
SKU-BAT-008,2026-07-06,6,random_forest,7.3879,6.5014,7.3879,7.3879,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,0,7,28
SKU-BAT-008,2026-07-07,7,random_forest,7.3879,6.5014,7.3879,7.3879,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,1,7,28
SKU-BAT-008,2026-07-08,8,random_forest,7.3879,6.5014,7.3879,7.3879,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,2,7,28
SKU-BAT-008,2026-07-09,9,random_forest,7.3879,6.5014,7.3879,7.3879,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,3,7,28
SKU-BAT-008,2026-07-10,10,random_forest,7.3879,6.5014,7.3879,7.3879,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,4,7,28
SKU-BAT-008,2026-07-11,11,random_forest,7.3845,6.498,7.3845,7.3845,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,5,7,28
SKU-BAT-008,2026-07-12,12,random_forest,7.1808,6.2943,7.1808,7.1808,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,6,7,28
SKU-BAT-008,2026-07-13,13,random_forest,7.1841,6.2976,7.1841,7.1841,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,0,7,29
SKU-BAT-008,2026-07-14,14,random_forest,7.1841,6.2976,7.1841,7.1841,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,1,7,29
SKU-BAT-008,2026-07-15,15,random_forest,7.1841,6.2976,7.1841,7.1841,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,2,7,29
SKU-BAT-008,2026-07-16,16,random_forest,7.1841,6.2976,7.1841,7.1841,PERSISTED_CHAMPION_MODEL,BACKTEST_RESIDUAL_QUANTILES,RECURSIVE_FUTURE_FEATURES_USED,False,,1.0,3,7,29
