schema_version,run_id,planning_iteration,generated_at,source_phase,target_phase,data_as_of_date,sku_id,gross_forecast_demand_7d,gross_forecast_demand_30d,gross_forecast_demand_60d,gross_forecast_demand_90d,average_daily_forecast_demand,forecast_uncertainty_level,underforecast_risk_flag,stockout_censored_demand_flag,demand_urgency_score,current_inventory_units,reserved_inventory_units,available_inventory_units,usable_on_hand_inventory_units,available_to_promise_units,expired_inventory_units,near_expiry_inventory_units,quarantined_inventory_units,unusable_inventory_units,batch_inventory_reconciliation_difference,batch_inventory_reconciliation_flag,inventory_source_used,inventory_model_type,review_policy,review_period_days,service_level_target,safety_stock_units,reorder_point_units,min_stock_level_units,max_stock_level_units,base_stock_level_units,order_up_to_level_units,policy_order_quantity_units,confirmed_inbound_units_7d,confirmed_inbound_units_30d,confirmed_inbound_before_need_date_units,uncertain_inbound_units,active_backorder_units,reserved_or_committed_demand_units,current_inventory_position_units,pre_clipped_inventory_position_units,inventory_position_clipped_flag,integrated_inventory_position_units,inventory_position_method,backorder_in_inventory_position_flag,commitment_definition,double_count_prevention_flag,replenishment_triggered_flag,gross_replenishment_requirement_units,net_replenishment_requirement_units,immediate_shortage_units,remaining_horizon_shortage_units,minimum_required_order_units,order_quantity_before_supplier_constraints,maximum_safe_order_units,expiry_constrained_max_order_units,movement_constrained_max_order_units,existing_inventory_constrained_max_order_units,warehouse_constrained_max_order_units,final_inventory_constraint_cap_units,main_inventory_status,primary_action,action_priority,inventory_priority_class,vitality_class,perishability_class,replenishment_urgency,supplier_capability_requirement,preferred_delivery_strategy,split_sourcing_allowed,expedite_allowed,return_to_supplier_review_required,requirement_source,requirement_confidence,requirement_warning_codes,inventory_context_complete_flag
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-COF-001,296.9471,1283.9367,2573.9602,3863.9837,42.7979,LOW,False,False,28.68,420.0,33.0,387.0,395.0,362.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,7.0,0.99,259.0,703.0,259.0,2583.0,0.0,0.0,1880.0,0.0,0.0,0.0,0.0,0.0,33.0,420.0,362.0,False,362.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,1880.0,1880.0,0.0,1880.0,1880.0,1880.0,2188.0,0,0.0,2188.0,2188.0,2188.0,REORDER_NOW,REVIEW_SUPPLIER_BEFORE_ORDER,HIGH,HIGH_PRIORITY,VITAL,NON_PERISHABLE,HIGH,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-TEA-002,361.1815,1582.1186,3208.8146,4835.5106,52.7373,LOW,True,False,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,7.0,0.95,153.0,386.0,153.0,1266.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,880.0,880.0,0.0,880.0,880.0,880.0,1266.0,0,0.0,1266.0,1266.0,1266.0,ZERO_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,HIGH_PRIORITY,IMPORTANT,EXPIRY_TRACKED,HIGH,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-SUN-003,168.0,720.0,1440.0,2160.0,24.0,MEDIUM,True,False,55.0,160.0,19.0,141.0,51.0,32.0,99.0,51.0,0.0,99.0,0.0,RECONCILED,BATCH_LAYER,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,7.0,0.7,32.0,102.0,32.0,140.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,19.0,160.0,32.0,False,32.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,672.12,89.0,0.0,672.12,672.12,672.12,89.0,0,0.0,89.0,89.0,89.0,OVERSTOCK,REDUCE_FUTURE_ORDERS,HIGH,LIQUIDATION_PRIORITY,IMPORTANT,SPOILAGE_RISK,HIGH,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,True,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-SUP-004,53.5958,229.3571,458.6437,687.9307,7.6452,MEDIUM,False,False,6.16,-18.0,1.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECONCILED_NEGATIVE_INVENTORY_AS_SHORTAGE,BATCH_LAYER,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,1.0,0.99,327.0,924.0,327.0,2124.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-1.0,True,0.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,1200.0,1200.0,18.0,1182.0,1200.0,1200.0,2124.0,0,0.0,2124.0,2124.0,2124.0,STOCKOUT,EXPEDITE_ORDER,URGENT,CRITICAL_PRIORITY,VITAL,EXPIRY_TRACKED,URGENT,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-CHC-005,133.0028,570.012,1140.024,1710.036,19.0004,LOW,False,False,26.98,35.0,3.0,32.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,RECONCILED,BATCH_LAYER,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,7.0,0.7,45.0,426.0,45.0,296.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,-3.0,True,0.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,945.5,296.0,0.0,945.5,945.5,945.5,296.0,0,0.0,296.0,296.0,296.0,UNKNOWN_STATUS,REVIEW_POLICY_PARAMETERS,HIGH,LIQUIDATION_PRIORITY,IMPORTANT,SPOILAGE_RISK,HIGH,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,True,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-BBQ-006,175.058,750.1829,1500.3437,2250.503,25.0061,LOW,True,False,55.0,720.0,86.0,634.0,671.0,585.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,EVENT_BASED_REPLENISHMENT,EVENT_BASED,60.0,0.9,84.0,327.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,720.0,585.0,False,585.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,MEDIUM_PRIORITY,IMPORTANT,NON_PERISHABLE,LOW,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-UMR-007,42.0,180.0,360.0,540.0,6.0,LOW,False,False,26.55,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,BASE_STOCK,CONTINUOUS_REVIEW,30.0,0.9,20.0,68.0,20.0,83.0,68.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,False,8.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,60.0,60.0,0.0,60.0,60.0,60.0,75.0,0,0.0,75.0,75.0,75.0,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,MEDIUM_PRIORITY,IMPORTANT,NON_PERISHABLE,HIGH,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-BAT-008,51.2425,216.5637,423.2377,633.4046,7.2188,LOW,False,True,70.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECONCILED_NEGATIVE_INVENTORY_AS_SHORTAGE,BATCH_LAYER,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,1.0,0.99,67.0,119.0,67.0,519.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,False,0.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,True,400.0,400.0,6.0,394.0,400.0,400.0,519.0,0,0.0,519.0,519.0,519.0,STOCKOUT,EXPEDITE_ORDER,URGENT,CRITICAL_PRIORITY,VITAL,NON_PERISHABLE,URGENT,RELIABLE_SUPPLIER_REQUIRED,SPLIT_DELIVERY,True,True,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-FIL-009,0.0,0.0,0.0,0.0,0.0,LOW,False,True,30.0,96.0,11.0,85.0,91.0,80.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,ONE_TO_ONE_REPLACEMENT,ONE_TO_ONE,60.0,0.9,11.0,25.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,96.0,80.0,False,80.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,MEDIUM_PRIORITY,IMPORTANT,NON_PERISHABLE,LOW,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
1.0,PHASE3-20260630115542,0,2026-06-30T11:55:44Z,PHASE_3,PHASE_2,2026-06-30,SKU-GFT-010,0.0,0.0,0.0,0.0,0.0,LOW,False,True,30.0,310.0,24.0,286.0,289.0,265.0,0.0,0.0,0.0,0.0,0.0,RECONCILED,BATCH_LAYER,EVENT_BASED_REPLENISHMENT,EVENT_BASED,30.0,0.9,5.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,310.0,265.0,False,265.0,USABLE_ON_HAND_PLUS_CONFIRMED_INBOUND_MINUS_RESERVED,False,RESERVED_INVENTORY_ONLY,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,MEDIUM_PRIORITY,IMPORTANT,NON_PERISHABLE,LOW,RELIABLE_SUPPLIER_REQUIRED,STANDARD_DELIVERY,True,False,False,PHASE3_POLICY_AND_USABLE_INVENTORY,HIGH,NONE,True
