schema_version,run_id,sku_id,final_iteration,convergence_status,forecast_demand_30d,demand_urgency_score,forecast_uncertainty_level,usable_on_hand_inventory_units,integrated_inventory_position_units,safety_stock_units,reorder_point_units,main_inventory_status,net_replenishment_requirement_units,maximum_safe_order_units,selected_supplier_ids,supplier_allocation_plan,total_allocated_usable_quantity,total_supplier_purchase_quantity,split_sourcing_used_flag,expedite_used_flag,earliest_arrival_date,final_arrival_date,total_procurement_cost,projected_holding_cost,projected_stockout_cost,projected_expiry_cost,projected_warehouse_cost,projected_total_relevant_cost,procurement_capacity_feasible_flag,inventory_policy_feasible_flag,warehouse_capacity_feasible_flag,service_level_feasible_flag,allocation_accepted_flag,final_recommendation,final_action_owner,final_priority,final_review_required,final_review_reason,auto_apply_allowed,purchase_order_creation_allowed,procurement_execution_ready_flag,approval_status,approval_owner
1.0,INTEGRATED-20260721135715,SKU-COF-001,1,CONVERGED_WITH_REVIEW,1283.9367,28.68,LOW,395.0,362.0,259.0,703.0,REORDER_NOW,1880.0,2188.0,SUP-001;SUP-002;SUP-003;SUP-006,SUP-006:728.57;SUP-001:351.43;SUP-003:171.43;SUP-002:240.00,1491.43,1628.0,True,False,2026-07-23,2026-08-06,4511.55,0.0,9714.249999999998,0.0,0.0,4511.55,False,True,True,True,False,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,HIGH,True,CONVERGED_WITH_REVIEW;UNALLOCATED_REQUIREMENT_REMAINS;PHASE3_ALLOCATION_VALIDATION_NOT_ACCEPTED,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-TEA-002,1,CONVERGED_WITH_REVIEW,1582.1186,55.0,LOW,0.0,0.0,153.0,386.0,ZERO_STOCK,880.0,1266.0,SUP-001;SUP-002;SUP-007,SUP-001:407.14;SUP-007:128.57;SUP-002:278.57,814.28,899.0,True,False,2026-07-24,2026-08-06,4564.68,0.0,1643.0000000000007,0.0,0.0,4564.68,False,True,True,True,False,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,HIGH,True,CONVERGED_WITH_REVIEW;UNALLOCATED_REQUIREMENT_REMAINS;PHASE3_ALLOCATION_VALIDATION_NOT_ACCEPTED,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-SUN-003,1,CONVERGED_WITH_REVIEW,720.0,55.0,MEDIUM,0.0,0.0,53.0,302.0,UNKNOWN_STATUS,140.0,140.0,SUP-004,SUP-004:140.00,140.0,147.0,False,False,2026-08-15,2026-08-15,1086.36,0.0,0.0,0.0,0.0,1086.36,True,True,True,True,True,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,HIGH,True,CONVERGED_WITH_REVIEW,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-SUP-004,1,CONVERGED_WITH_REVIEW,229.3571,6.16,MEDIUM,0.0,0.0,327.0,924.0,STOCKOUT,1200.0,2124.0,SUP-001;SUP-006,SUP-006:1071.43;SUP-001:128.57,1200.0,1296.0,True,False,2026-07-29,2026-08-06,8391.16,0.0,0.0,0.0,0.0,8391.16,True,True,True,True,True,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,URGENT,True,CONVERGED_WITH_REVIEW,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-CHC-005,1,CONVERGED_WITH_REVIEW,570.012,26.98,LOW,0.0,0.0,42.0,169.0,UNKNOWN_STATUS,0.0,150.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-BBQ-006,1,CONVERGED_WITH_REVIEW,750.1829,55.0,LOW,671.0,585.0,84.0,327.0,OVERSTOCK,0.0,0.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-UMR-007,1,CONVERGED_WITH_REVIEW,180.0,26.55,LOW,8.0,8.0,20.0,48.0,CRITICAL_LOW_STOCK,0.0,62.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-BAT-008,1,CONVERGED_WITH_REVIEW,216.5637,70.0,LOW,0.0,0.0,67.0,119.0,STOCKOUT,400.0,519.0,SUP-006,SUP-006:400.00,400.0,431.0,False,False,2026-08-08,2026-08-08,5076.98,0.0,0.0,0.0,0.0,5076.98,True,True,True,True,True,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,URGENT,True,CONVERGED_WITH_REVIEW,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-FIL-009,1,CONVERGED_WITH_REVIEW,0.0,30.0,LOW,91.0,80.0,7.0,21.0,OVERSTOCK,0.0,0.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-GFT-010,1,CONVERGED_WITH_REVIEW,0.0,30.0,LOW,289.0,265.0,5.0,8.0,OVERSTOCK,0.0,0.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-BIKE-ROAD-001,1,CONVERGED_WITH_REVIEW,424.6453,34.32,LOW,16.0,14.0,76.0,162.0,CRITICAL_LOW_STOCK,86.0,232.0,,,0.0,0.0,False,False,,,0.0,0.0,2150.0,0.0,0.0,0.0,False,True,True,True,False,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,HIGH,True,CONVERGED_WITH_REVIEW;UNALLOCATED_REQUIREMENT_REMAINS;PHASE3_ALLOCATION_VALIDATION_NOT_ACCEPTED,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-BIKE-MT-001,1,CONVERGED_WITH_REVIEW,329.889,33.36,LOW,13.0,12.0,62.0,132.0,CRITICAL_LOW_STOCK,70.0,189.0,,,0.0,0.0,False,False,,,0.0,0.0,1750.0,0.0,0.0,0.0,False,True,True,True,False,REVIEW_BEFORE_ACTION,MULTI_DEPARTMENT_REVIEW,HIGH,True,CONVERGED_WITH_REVIEW;UNALLOCATED_REQUIREMENT_REMAINS;PHASE3_ALLOCATION_VALIDATION_NOT_ACCEPTED,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
1.0,INTEGRATED-20260721135715,SKU-COMP-FRAME-ROAD-001,1,CONVERGED_WITH_REVIEW,0.0,0.0,UNKNOWN,110.0,100.0,11.0,29.0,OVERSTOCK,0.0,0.0,,,0.0,0.0,False,False,,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,NO_PROCUREMENT_ACTION_REQUIRED,NO_OWNER_REQUIRED,LOW,False,NO_REPLENISHMENT_REQUIREMENT,False,False,False,NOT_REQUESTED,HUMAN_MANAGER
