sku_id,product_name,category,recommended_location_id,recommended_storage_zone,abc_class,fsn_class,movement_class,distance_from_receiving_m,distance_to_shipping_m,distance_to_pick_face_m,one_way_operational_distance_m,total_travel_distance_m,travel_distance_basis,travel_threshold_basis,travel_time_min,travel_cost,movement_count,frequency_adjusted_travel_distance_m,frequency_adjusted_travel_cost,travel_warning_flags,travel_info_flags,travel_reason,visual_travel_risk_group,map_x,map_y,map_z
SKU-SUP-004,Winter Soup Mix 400g,Grocery,LOC-TC-001,TEMPERATURE_CONTROLLED,A,F,FAST_MOVING,32.25,48.26,30.41,30.41,80.51,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.34,1.61,6.0,483.06,9.66,FAST_MOVING_ITEM_TOO_FAR,TRAVEL_THRESHOLD_USES_ONE_WAY,Assigned location creates elevated travel distance for SKU movement profile.,FAST_MOVING_TOO_FAR,18.0,30.0,1.0
SKU-COF-001,House Blend Coffee 1kg,Grocery,LOC-FP-001,FAST_PICK,A,F,FAST_MOVING,11.66,46.27,9.43,9.43,57.93,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.97,1.16,7.0,405.51,8.12,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,12.0,8.0,1.0
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,LOC-TC-002,TEMPERATURE_CONTROLLED,A,S,MEDIUM_MOVING,39.6,38.9,37.48,37.48,78.5,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.31,1.57,3.0,235.5,4.71,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,30.0,30.0,1.0
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,LOC-SC-001,SECURITY_CONTROLLED,C,F,FAST_MOVING,32.56,24.52,24.52,24.52,57.08,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.95,1.14,5.0,285.4,5.7,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,34.0,8.0,2.0
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,LOC-TC-003,TEMPERATURE_CONTROLLED,A,S,SLOW_MOVING,34.99,47.8,33.12,33.12,82.79,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.38,1.66,3.0,248.37,4.98,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,20.0,32.0,2.0
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,LOC-SC-002,SECURITY_CONTROLLED,C,F,FAST_MOVING,53.25,31.38,31.38,31.38,84.63,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.41,1.69,5.0,423.15,8.45,FAST_MOVING_ITEM_TOO_FAR,TRAVEL_THRESHOLD_USES_ONE_WAY,Assigned location creates elevated travel distance for SKU movement profile.,FAST_MOVING_TOO_FAR,46.0,32.0,3.0
SKU-UMR-007,Compact Umbrella,Accessories,LOC-TC-003,EACH_PICKING,A,S,SLOW_MOVING,34.99,47.8,33.12,33.12,82.79,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.38,1.66,2.0,165.58,3.32,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,20.0,32.0,2.0
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,LOC-TC-003,TEMPERATURE_CONTROLLED,B,S,MEDIUM_MOVING,34.99,47.8,33.12,33.12,82.79,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.38,1.66,4.0,331.16,6.64,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,20.0,32.0,2.0
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,LOC-PL-001,PALLET_STORAGE,B,S,SLOW_MOVING,15.62,44.91,13.45,13.45,60.53,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.01,1.21,3.0,181.59,3.63,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,14.0,12.0,1.0
SKU-FIL-009,Replacement Water Filter,Home,LOC-BK-001,SLOW_PICK,C,N,NON_MOVING,49.4,19.72,19.72,19.72,69.12,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.15,1.38,2.0,138.24,2.76,,,Travel distance and cost are within configured thresholds for this SKU.,NORMAL_TRAVEL,48.0,20.0,1.0
