risk_id,sku_id,product_name,category,risk_type,risk_level,risk_source,risk_description,risk_driver,related_status,related_cost_driver,related_selected_scenario,mitigation_action,risk_owner,review_required,review_type,risk_priority,review_severity,mandatory_review_gate,advisory_review_gate,action_readiness
SKU-COF-001-STOCKOUT_RISK,SKU-COF-001,House Blend Coffee 1kg,Grocery,STOCKOUT_RISK,CRITICAL,INVENTORY_STATUS,Shortage or replenishment risk.,REORDER_NOW status creates shortage risk. Supplier review signal exists.,REORDER_NOW,,EXPEDITE_DELIVERY,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,False,SUPPLIER_REVIEW,HIGH,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-COF-001-SUPPLIER_RISK,SKU-COF-001,House Blend Coffee 1kg,Grocery,SUPPLIER_RISK,CRITICAL,SUPPLIER_CONTEXT,Supplier reliability or supplier review risk.,REORDER_NOW status creates shortage risk. Supplier review signal exists.,REORDER_NOW,,EXPEDITE_DELIVERY,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,False,SUPPLIER_REVIEW,HIGH,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-COF-001-POLICY_RISK,SKU-COF-001,House Blend Coffee 1kg,Grocery,POLICY_RISK,CRITICAL,RE_EVALUATION_ENGINE,Policy or parameter review risk.,REORDER_NOW status creates shortage risk. Supplier review signal exists.,REORDER_NOW,,EXPEDITE_DELIVERY,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,False,SUPPLIER_REVIEW,HIGH,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-COF-001-COST_RISK,SKU-COF-001,House Blend Coffee 1kg,Grocery,COST_RISK,CRITICAL,COST_ENGINE,High or uncertain cost exposure.,REORDER_NOW status creates shortage risk. Supplier review signal exists.,REORDER_NOW,,EXPEDITE_DELIVERY,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,False,SUPPLIER_REVIEW,HIGH,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-TEA-002-STOCKOUT_RISK,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,STOCKOUT_RISK,CRITICAL,INVENTORY_STATUS,Shortage or replenishment risk.,ZERO_STOCK status creates shortage risk. Overstock or days-of-supply risk exists. Supplier review signal exists.,ZERO_STOCK,,EXPEDITE_DELIVERY,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,False,SUPPLIER_REVIEW,URGENT,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-TEA-002-OVERSTOCK_RISK,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,OVERSTOCK_RISK,CRITICAL,INVENTORY_STATUS,Excess inventory risk.,ZERO_STOCK status creates shortage risk. Overstock or days-of-supply risk exists. Supplier review signal exists.,ZERO_STOCK,,EXPEDITE_DELIVERY,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,False,SUPPLIER_REVIEW,URGENT,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-TEA-002-SUPPLIER_RISK,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,SUPPLIER_RISK,CRITICAL,SUPPLIER_CONTEXT,Supplier reliability or supplier review risk.,ZERO_STOCK status creates shortage risk. Overstock or days-of-supply risk exists. Supplier review signal exists.,ZERO_STOCK,,EXPEDITE_DELIVERY,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,False,SUPPLIER_REVIEW,URGENT,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-TEA-002-POLICY_RISK,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,POLICY_RISK,CRITICAL,RE_EVALUATION_ENGINE,Policy or parameter review risk.,ZERO_STOCK status creates shortage risk. Overstock or days-of-supply risk exists. Supplier review signal exists.,ZERO_STOCK,,EXPEDITE_DELIVERY,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,False,SUPPLIER_REVIEW,URGENT,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-TEA-002-COST_RISK,SKU-TEA-002,Iced Tea Peach 500ml,Beverages,COST_RISK,CRITICAL,COST_ENGINE,High or uncertain cost exposure.,ZERO_STOCK status creates shortage risk. Overstock or days-of-supply risk exists. Supplier review signal exists.,ZERO_STOCK,,EXPEDITE_DELIVERY,ORDER_RECOMMENDED_QUANTITY,PROCUREMENT_TEAM,False,SUPPLIER_REVIEW,URGENT,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_POLICY_SIGNAL; ADVISORY_COST_SIGNAL,READY_TO_ACT
SKU-SUN-003-OVERSTOCK_RISK,SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,OVERSTOCK_RISK,HIGH,INVENTORY_STATUS,Excess inventory risk.,Overstock or days-of-supply risk exists. Expiry or near-expiry signal exists. Supplier review signal exists. Warehouse capacity or staging risk exists.,OVERSTOCK,,DELAY_NONURGENT_ORDER,USE_SELECTED_OPTIMIZED_SCENARIO,INVENTORY_PLANNER,False,SUPPLIER_REVIEW,MEDIUM,ADVISORY,,ADVISORY_SUPPLIER_SIGNAL; ADVISORY_WAREHOUSE_SIGNAL; ADVISORY_POLICY_SIGNAL,ADVISORY_REVIEW_RECOMMENDED
