sku_id,product_name,category,inventory_model_type,review_policy,policy_selection_confidence,policy_confidence_reason,policy_urgency,policy_review_required,policy_review_reason,policy_reason,service_level_target,safety_factor_z,service_level_review_required,service_level_re_evaluation_signal,abc_class,xyz_class,fsn_class,vitality_class,seasonality_class,perishability_class,movement_class,supplier_risk_class,inventory_priority_class,classification_score,current_inventory,available_inventory,inventory_position,stockout_signal,stockout_units,zero_inventory_signal,expiry_risk_signal,non_moving_signal,dead_stock_signal,near_expiry_units,expired_units,stockout_penalty_per_unit,overstock_penalty_per_unit,unit_cost_inventory,inventory_value,average_daily_demand,coefficient_of_variation,demand_behavior_class,average_p50_forecast,average_p90_forecast,average_forecast_confidence_score,dominant_forecast_risk_level,recommended_supplier_id,backup_supplier_id,expected_lead_time_days,lead_time_std_days,unit_cost_procurement,moq,batch_size,expected_yield_rate,final_feasible_order_quantity,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,recommended_supplier_feasible,recommended_supplier_requires_review,split_sourcing_recommendation,recommended_primary_share,recommended_backup_share,supplier_option_count,feasible_supplier_option_count,supplier_review_signal,watchlist_supplier_signal,supplier_trend_status,supplier_evidence_status,perishable,expiry_tracking_required,fefo_required,handling_unit,inventory_owner_type,item_planning_type,push_pull_boundary_role,supplier_accepts_returns,return_window_days,return_deduction_rate,return_transport_cost,return_policy_status,safety_stock,reorder_point,eoq,eoq_rounded,recommended_order_quantity,min_stock_level,max_stock_level,reorder_point_s,order_quantity_Q,review_period_R,review_period_reason,order_up_to_level_S,base_stock_level,newsvendor_critical_ratio,procurement_constraint_flag,procurement_constraint_reason,phase4_review_flag,phase1_context_status,phase2_context_status,demand_std_daily,mean_demand_during_lead_time,std_demand_during_lead_time,parameter_calculation_reason,quantity_constraint_flag,quantity_constraint_reason,warning_codes,moq_adjustment_applied,batch_rounding_applied,yield_adjustment_applied,perishability_cap_applied,existing_inventory_cap_applied,stockout_order_boost_applied,supplier_review_before_order,phase4_review_before_final_policy,no_order_recommended_flag,no_order_event_based,no_order_one_to_one
SKU-COF-001,House Blend Coffee 1kg,Grocery,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,0.65,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,"Selected CONTINUOUS_REVIEW_sQ because SKU is critical, high service, stockout-prone, or needs close threshold monitoring.",0.99,2.33,True,True,A,X,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.92,420,387,420,False,0,False,False,False,False,0,0,35,4,6.5,2730.0,44.3757,0.1603,STABLE,42.79789,42.79789,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,10.0,2.0,3.75,55,40,0.985,0,0.0361031213017751,LOW,False,True,False,1.0,0.0,0,0,True,False,HEALTHY,STRONG_HISTORY,False,False,False,CASE,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,259,703,1846.6,1880,1880,259,2583,703,1880,7,Fast-moving SKU should be reviewed weekly.,,,,True,Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,7.1134,443.757,91.5577,"Calculated continuous-review s,Q using demand during lead time, safety stock, and EOQ-based order quantity.",True,Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,False,True,True,False,False,False,True,False,False,False,False
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,0.57,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; supplier trend data is limited; policy review is required; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,"Selected CONTINUOUS_REVIEW_sQ because SKU is critical, high service, stockout-prone, or needs close threshold monitoring.",0.99,2.33,True,True,A,Y,S,IMPORTANT,SEASONAL_BUILDUP,EXPIRY_TRACKED,MEDIUM_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,HIGH_PRIORITY,0.745,0,0,0,False,0,True,False,False,False,0,0,30,7,4.2,0.0,29.0166,0.605,VARIABLE,52.73728666666667,52.73728666666667,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,8.0,2.0,5.31,30,20,0.939,0,0.1530007575757575,LOW,False,True,False,1.0,0.0,0,0,True,False,INSUFFICIENT_DATA,LIMITED_HISTORY,True,True,True,CASE,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,216,449,1254.85,880,880,216,1329,449,880,7,Seasonal demand needs weekly review.,,,,True,Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,17.555,232.1328,76.376,"Calculated continuous-review s,Q using demand during lead time, safety stock, and EOQ-based order quantity.",True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Supplier should be reviewed before ordering. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,False,True,True,True,False,False,True,False,False,False,False
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,0.57,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; spoilage risk adds uncertainty; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Expiry risk requires review before final order quantity. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,Selected NEWSVENDOR_CANDIDATE because SKU is seasonal/perishable and excess inventory creates spoilage or obsolescence risk.,0.8,0.84,True,True,B,Y,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,MEDIUM_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.625,160,141,160,False,0,False,True,False,False,53,53,22,9,9.8,1568.0,9.9392,1.0669,VARIABLE,24.0,24.0,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,7.0,2.0,6.34,50,35,0.868,0,0.1396626570048309,LOW,False,True,False,1.0,0.0,0,0,True,False,MIXED,STRONG_HISTORY,True,True,True,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,32,102,672.12,,105,32,140,102,,7,Perishable or expiry-tracked SKU needs weekly review.,,,0.651,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Low expected yield requires yield-adjusted order quantity later. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,10.6041,69.5744,34.3844,Calculated newsvendor candidate using shortage-vs-excess critical ratio and capped quantity for perishability.,True,Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,False,True,True,False,False,False,True,False,False,False,False
SKU-SUP-004,Winter Soup Mix 400g,Grocery,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,0.49,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; supplier is on watchlist; Phase 4 production logic may override; procurement constraints exist,URGENT,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Procurement constraints should be reviewed before Step 6 calculations.","Selected CONTINUOUS_REVIEW_sQ because SKU is critical, high service, stockout-prone, or needs close threshold monitoring.",0.99,2.33,True,True,A,Y,F,VITAL,NON_SEASONAL,EXPIRY_TRACKED,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.955,-18,-19,-18,True,18,False,False,False,False,0,0,28,6,5.4,-97.2,37.2818,0.5072,VARIABLE,7.6452366666666665,7.6452366666666665,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,16.0,2.0,5.53,250,200,0.935,0,0.0632500674004917,LOW,False,True,False,1.0,0.0,0,0,True,True,WATCHLIST,STRONG_HISTORY,True,True,True,CASE,SEMI_PRODUCED,SEMI_FINISHED,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,327,924,1393.8,1200,1200,327,2124,924,1200,1,Critical or stockout SKU should be checked daily.,,,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,True,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,18.9093,596.5088,106.2108,"Calculated continuous-review s,Q using demand during lead time, safety stock, and EOQ-based order quantity.",True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Stockout signal boosted the recommended order quantity. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,False,True,True,True,False,True,True,True,False,False,False
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,0.49,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; supplier is on watchlist; spoilage risk adds uncertainty; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Expiry risk requires review before final order quantity. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,Selected NEWSVENDOR_CANDIDATE because SKU is seasonal/perishable and excess inventory creates spoilage or obsolescence risk.,0.705,0.84,True,True,A,X,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,LIQUIDATION_PRIORITY,0.655,35,32,35,False,0,False,True,False,False,0,35,24,8,3.8,133.0,21.1271,0.2655,STABLE,19.0004,19.0004,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,18.0,2.0,6.81,170,135,0.929,0,0.0755950674004917,LOW,False,True,False,1.0,0.0,0,0,True,True,WATCHLIST,STRONG_HISTORY,True,True,True,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,45,426,945.5,,405,45,296,426,,7,Perishable or expiry-tracked SKU needs weekly review.,,,0.686,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,5.6092,380.2878,48.495,Calculated newsvendor candidate using shortage-vs-excess critical ratio and capped quantity for perishability.,True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Supplier should be reviewed before ordering. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,False,True,True,True,False,False,True,False,False,False,False
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,BASE_STOCK,CONTINUOUS_REVIEW,0.49,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; supplier is on watchlist; Phase 4 production logic may override; procurement constraints exist,HIGH,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Procurement constraints should be reviewed before Step 6 calculations.",Selected BASE_STOCK because SKU is an important buffer with variable demand or supplier uncertainty and should maintain a target inventory position.,0.9,1.28,True,True,B,Y,S,IMPORTANT,SEASONAL_DRAWDOWN,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.63,720,634,720,False,0,False,False,False,False,0,0,18,12,12.5,9000.0,12.7569,0.9664,VARIABLE,25.006096666666668,25.006096666666668,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,19.0,2.0,7.24,195,155,0.923,0,0.1687348674004918,LOW,False,True,False,1.0,0.0,0,0,True,True,WATCHLIST,STRONG_HISTORY,False,False,False,PALLET,PURCHASED,PURCHASED_FINISHED_GOOD,FINISHED_GOOD_BUFFER,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,84,327,712.56,,0,84,720,327,,30,Slow-moving SKU can use monthly review.,,476,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,True,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,12.3283,242.3811,59.4869,Calculated base-stock policy using reorder point and p90 demand reference.,True,Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY,False,False,False,False,False,False,True,True,False,False,False
SKU-UMR-007,Compact Umbrella,Accessories,BASE_STOCK,CONTINUOUS_REVIEW,0.57,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; supplier trend data is limited; policy review is required; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations.,Selected BASE_STOCK because SKU is an important buffer with variable demand or supplier uncertainty and should maintain a target inventory position.,0.915,1.391,True,True,A,X,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.76,8,8,8,False,0,False,False,False,False,0,0,26,10,14.0,112.0,6.779,0.1983,STABLE,6.0,6.0,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,7.0,2.0,14.38,35,25,0.945,0,0.0651632575757575,LOW,False,True,False,1.0,0.0,0,0,True,False,INSUFFICIENT_DATA,LIMITED_HISTORY,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,22,70,368.57,,75,22,83,70,,30,Slow-moving SKU can use monthly review.,,70,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,1.3443,47.453,14.0167,Calculated base-stock policy using reorder point and p90 demand reference.,True,Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Supplier should be reviewed before ordering. Policy review flag remains active.,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,False,True,True,False,False,False,True,False,False,False,False
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,0.49,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; supplier is on watchlist; Phase 4 production logic may override; procurement constraints exist,URGENT,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Supplier watchlist signal requires policy review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Procurement constraints should be reviewed before Step 6 calculations.","Selected CONTINUOUS_REVIEW_sQ because SKU is critical, high service, stockout-prone, or needs close threshold monitoring.",0.99,2.33,True,True,C,Z,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,CRITICAL_PRIORITY,0.735,-6,-6,-6,True,6,False,False,False,False,0,0,40,4,7.2,-43.2,2.8453,1.7253,ERRATIC,7.21879,7.21879,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,18.0,2.0,9.79,250,200,0.929,0,0.1850350674004917,LOW,False,True,False,1.0,0.0,0,0,True,True,WATCHLIST,STRONG_HISTORY,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,RAW_MATERIAL_BUFFER,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,67,119,289.39,400,400,67,519,119,400,1,Critical or stockout SKU should be checked daily.,,,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,True,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,4.909,51.2154,21.5905,"Calculated continuous-review s,Q using demand during lead time, safety stock, and EOQ-based order quantity.",True,"Batch rounding increased the calculated quantity. Yield adjustment increased the order quantity. Order quantity was capped for expiry, movement, or seasonality risk. Stockout signal boosted the recommended order quantity. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,False,True,True,True,False,True,True,True,False,False,False
SKU-FIL-009,Replacement Water Filter,Home,ONE_TO_ONE_REPLACEMENT,ONE_TO_ONE,0.54,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; Phase 4 production logic may override; procurement constraints exist,HIGH,True,"Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Phase 4 production, BOM, or MRP logic may override this policy. Non-moving or dead-stock signal requires policy review. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.",Selected ONE_TO_ONE_REPLACEMENT because SKU is component-like or Phase 4-ready and each issue may need replacement logic.,0.9,1.28,True,True,C,Z,N,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,NON_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.465,96,85,96,False,0,False,False,True,False,0,0,20,5,11.3,1084.8,1.0055,1.9287,ERRATIC,0.0,0.0,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,13.0,2.0,20.74,55,40,0.973,0,0.0826031213017751,LOW,False,True,False,1.0,0.0,0,0,True,False,HEALTHY,STRONG_HISTORY,False,False,False,CASE,PURCHASED,COMPONENT,ASSEMBLE_TO_ORDER_COMPONENT,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,11,25,118.2,,0,11,11,25,,60,Non-moving SKU can use longer review cadence.,,,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,True,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,1.9393,13.0715,7.2757,"One-to-one replacement recommends no order because no stockout, issue, or replacement trigger is active.",True,"Existing inventory already exceeds the position-aware days-of-supply cap. Supplier should be reviewed before ordering. Phase 4 production/BOM/MRP review should happen before final policy. No order is recommended because no policy trigger is active. No order recommended because current inventory already exceeds the allowed days-of-supply cap. Phase 4 item remains review-flagged, but no replacement order is triggered yet. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,False,False,False,False,True,False,True,True,True,False,True
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,EVENT_BASED_REPLENISHMENT,EVENT_BASED,0.62,Phase 1 demand context loaded; Phase 2 procurement context loaded; recommended supplier is not feasible; forecast confidence is low; policy review is required; procurement constraints exist,HIGH,True,Service-level engine marked this SKU for review. Service-level re-evaluation signal is active. Recommended supplier requires review. Recommended supplier is not feasible. Procurement constraints should be reviewed before Step 6 calculations. Selected policy is sensitive to low forecast confidence.,"Selected EVENT_BASED_REPLENISHMENT because SKU is intermittent, low-moving, or should avoid holding excessive stock.",0.94,1.576,True,True,C,Z,F,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,REVIEW_REQUIRED_SUPPLIER_RISK,MEDIUM_PRIORITY,0.625,310,286,310,False,0,False,False,False,False,0,0,32,14,16.5,5115.0,0.6906,2.2084,ERRATIC,0.0,0.0,0.5,MEDIUM_RISK,UNKNOWN,UNKNOWN,4.0,2.0,18.48,45,30,0.88,0,0.0940776570048309,LOW,False,True,False,1.0,0.0,0,0,True,False,MIXED,STRONG_HISTORY,False,False,False,EACH,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,6,9,103.77,,0,0,6,9,,7,Fast-moving SKU should be reviewed weekly.,,,,True,High MOQ may force overstock; Step 6 should cap order quantity using capacity and demand. Large batch size may force order rounding above expected demand. Low expected yield requires yield-adjusted order quantity later. Recommended supplier is not feasible before finalization. Few feasible supplier options limit procurement flexibility. Supplier review or watchlist signal affects policy finalization.,False,LOADED_FROM_PHASE1,LOADED_FROM_PHASE2,1.5251,2.7624,3.3484,"Event-based replenishment recommends no order because no stockout, low-inventory, or event trigger is active.",True,"Existing inventory already exceeds the position-aware days-of-supply cap. Supplier should be reviewed before ordering. No order is recommended because no policy trigger is active. No order recommended because current inventory already exceeds the allowed days-of-supply cap. Important SKU requires review, but no event-based order trigger is active. Policy review flag remains active.",SUPPLIER_REVIEW_BEFORE_ORDER;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,False,False,False,False,True,False,True,False,True,True,False
