sku_id,product_name,category,warehouse_zone,storage_location,available_quantity,usable_quantity,net_replenishment_requirement,recommended_action,action_priority,next_delivery_date,expiry_status,handling_warning,manager_review_required,employee_instruction
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,SECURITY_CONTROLLED,LOC-SC-001,0.0,0.0,400.0,SPLIT_DELIVERY,URGENT,2026-07-15,NO_EXPIRY_ALERT,STOCKOUT_OR_NEGATIVE_INVENTORY_REVIEW; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,BULK_STORAGE,LOC-BK-001,634.0,634.0,0.0,LIQUIDATE_DEAD_STOCK,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED,True,Manager review required
SKU-BIKE-MT-001,Mountain Bike,Bicycles,SECURITY_CONTROLLED,LOC-SC-002,13.0,13.0,70.0,ORDER_RECOMMENDED_QUANTITY,URGENT,,NO_EXPIRY_ALERT,PARTIAL ALLOCATION REVIEW; SUPPLIER SHORTAGE; MANAGER REVIEW REQUIRED; WAITING DELIVERY; WAREHOUSE CHECK REQUIRED,True,Manager review required before full replenishment
SKU-BIKE-ROAD-001,Road Bike,Bicycles,SECURITY_CONTROLLED,LOC-FP-002,16.0,16.0,86.0,ORDER_RECOMMENDED_QUANTITY,URGENT,,NO_EXPIRY_ALERT,PARTIAL ALLOCATION REVIEW; SUPPLIER SHORTAGE; MANAGER REVIEW REQUIRED; WAITING DELIVERY; WAREHOUSE CHECK REQUIRED,True,Manager review required before full replenishment
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,TEMPERATURE_CONTROLLED,LOC-TC-003,32.0,32.0,296.0,TIGHTEN_ORDER_CAP,MEDIUM,2026-07-15,NO_EXPIRY_ALERT,WAREHOUSE CHECK REQUIRED,False,Wait for delivery
SKU-COF-001,House Blend Coffee 1kg,Grocery,FAST_PICK,LOC-FP-001,387.0,387.0,1880.0,SPLIT_DELIVERY,URGENT,2026-06-29,NO_EXPIRY_ALERT,PARTIAL ALLOCATION REVIEW; SUPPLIER SHORTAGE; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Wait for partial delivery; manager review required
SKU-COMP-BOLT-KIT-001,UNKNOWN,UNKNOWN,SECURITY_CONTROLLED,LOC-SC-002,460.0,460.0,0.0,LIQUIDATE_DEAD_STOCK,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,SECURITY_CONTROLLED,LOC-EP-001,148.0,148.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,SECURITY_CONTROLLED,LOC-SC-002,143.0,143.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-FRAME-MT-001,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-BK-003,82.0,82.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-FRAME-ROAD-001,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-BK-002,110.0,110.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,URGENT,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-PEDAL-SET-001,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-SP-001,166.0,166.0,0.0,LIQUIDATE_DEAD_STOCK,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED,True,Manager review required
SKU-COMP-TIRE-MT-29,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-PL-002,278.0,278.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-TIRE-ROAD-700C,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-BK-001,315.0,315.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-WHEEL-MT-29,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-BK-005,192.0,192.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,URGENT,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-COMP-WHEEL-ROAD-700C,UNKNOWN,UNKNOWN,SLOW_PICK,LOC-BK-004,240.0,240.0,0.0,USE_SELECTED_OPTIMIZED_SCENARIO,URGENT,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-FIL-009,Replacement Water Filter,Home,SLOW_PICK,LOC-RC-001,85.0,85.0,0.0,LIQUIDATE_DEAD_STOCK,HIGH,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED,True,Manager review required
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,SECURITY_CONTROLLED,LOC-SC-002,286.0,286.0,0.0,LIQUIDATE_DEAD_STOCK,MEDIUM,,NO_EXPIRY_ALERT,MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,TEMPERATURE_CONTROLLED,LOC-TC-003,141.0,141.0,89.0,RETURN_TO_SUPPLIER_REVIEW,HIGH,2026-07-04,NEAR_EXPIRY,MANAGER REVIEW REQUIRED; NEAR EXPIRY; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-SUP-004,Winter Soup Mix 400g,Grocery,TEMPERATURE_CONTROLLED,LOC-TC-001,0.0,0.0,1200.0,SPLIT_DELIVERY,URGENT,2026-07-05,NO_EXPIRY_ALERT,STOCKOUT_OR_NEGATIVE_INVENTORY_REVIEW; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Manager review required
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,TEMPERATURE_CONTROLLED,LOC-TC-002,0.0,0.0,880.0,ORDER_RECOMMENDED_QUANTITY,URGENT,2026-06-30,NO_EXPIRY_ALERT,PARTIAL ALLOCATION REVIEW; SUPPLIER SHORTAGE; MANAGER REVIEW REQUIRED; WAREHOUSE CHECK REQUIRED,True,Wait for partial delivery; manager review required
