sku_id,product_name,category,inventory_model_type,review_policy,main_inventory_status,secondary_status_flags,primary_action,secondary_action,action_priority,action_reason,policy_review_required,quantity_constraint_flag,warning_codes,current_inventory,available_inventory,inventory_position,recommended_order_quantity,safety_stock,reorder_point,min_stock_level,max_stock_level,days_of_supply_current,days_of_supply_after_recommended_order,abc_class,xyz_class,fsn_class,vitality_class,seasonality_class,perishability_class,movement_class,inventory_priority_class,service_level_target,recommended_supplier_id,backup_supplier_id,recommended_supplier_feasible,recommended_supplier_requires_review,supplier_review_signal,watchlist_supplier_signal,supplier_review_before_order,supplier_accepts_returns,return_window_days,return_deduction_rate,return_transport_cost,return_policy_status,unit_cost_inventory,unit_cost_procurement,inventory_value,stockout_units,stockout_penalty_per_unit,overstock_penalty_per_unit,near_expiry_units,expired_units,average_daily_demand,moq,batch_size,expected_yield_rate,expected_lead_time_days,lead_time_std_days,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,estimated_fixed_order_cost,fixed_order_cost,delivery_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_quality_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,unit_volume_m3,handling_cost_per_unit,storage_cost_per_m3,selected_unit_cost,current_inventory_value,current_holding_cost,storage_space_cost,handling_cost,current_stockout_cost,expected_stockout_risk_cost,overstock_units,current_overstock_cost,expired_stock_cost,near_expiry_risk_cost,return_recovery_estimate,dead_stock_cost,non_moving_cost,recommended_purchase_cost,recommended_fixed_order_cost,recommended_delivery_cost,recommended_expected_delay_cost,recommended_expected_quality_cost,recommended_expedite_cost,recommended_total_order_cost,projected_inventory_after_order,projected_inventory_value_after_order,projected_holding_cost_after_order,projected_overstock_units_after_order,projected_overstock_cost_after_order,supplier_risk_cost,phase4_review_cost_risk,total_current_inventory_cost,total_recommended_action_cost,total_projected_cost_after_action,total_relevant_inventory_cost,main_cost_driver,cost_risk_level,cost_action_recommendation,cost_justification_reason,cost_reason,cost_warning_flags
SKU-COF-001,House Blend Coffee 1kg,Grocery,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,REORDER_NOW,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,REVIEW_SUPPLIER_BEFORE_ORDER,ORDER_RECOMMENDED_QUANTITY,HIGH,Inventory is at or below reorder point and supplier review is required before ordering.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,420,387,420,1880,259,703,259,2583,9.46,51.83,A,X,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,HIGH_PRIORITY,0.99,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,6.5,3.75,2730.0,0.0,35,4,0,0,44.3757,55,40,0.985,10.0,2.0,0.0361031213017751,LOW,95.0,,,130.0,1.134,115.2,,,,0.004,5.0,4.0,3.75,2730.0,518.7,6.72,35.0,0.0,1397.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7050.0,95.0,130.0,1.13,115.2,0.0,7391.33,2300.0,8625.0,1638.75,0.0,0.0,19.09,0.0,560.42,7391.33,3055.67,9368.68,PURCHASE_COST,CRITICAL,REVIEW_SUPPLIER_COST_RISK,Cost risk is CRITICAL; review the dominant driver before final action.,Main cost driver is purchase cost with total relevant cost 9368.68. Recommended action cost is 7391.33.,COST_USES_FALLBACKS;EXPECTED_STOCKOUT_RISK_ACTIVE;STOCKOUT_DURATION_UNKNOWN;HIGH_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,ZERO_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Zero stock exists and a recommended order quantity is available.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,0,0,0,880,216,449,216,1329,0.0,30.33,A,Y,S,IMPORTANT,SEASONAL_BUILDUP,EXPIRY_TRACKED,MEDIUM_MOVING,HIGH_PRIORITY,0.99,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,4.2,5.31,0.0,0.0,30,7,0,0,29.0166,30,20,0.939,8.0,2.0,0.1530007575757575,LOW,35.7,,,111.65,9.96216,352.641,,,,0.003,5.0,4.0,5.31,0.0,0.0,0.0,15.0,0.0,2350.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.8,35.7,111.65,9.96,352.64,0.0,5182.75,880.0,4672.8,887.83,9.5,66.51,53.62,0.0,15.0,5182.75,3358.31,7601.72,PURCHASE_COST,CRITICAL,REVIEW_POLICY_PARAMETERS,Cost risk is CRITICAL; review the dominant driver before final action.,Main cost driver is purchase cost with total relevant cost 7601.72. Recommended action cost is 5182.75. Stock availability risk is included in the cost exposure.,COST_USES_FALLBACKS;EXPECTED_STOCKOUT_RISK_ACTIVE;STOCKOUT_DURATION_UNKNOWN;HIGH_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,OVERSTOCK,NEAR_EXPIRY;EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,SCRAP_OR_QUARANTINE_EXPIRED,HIGH,Inventory exceeds max stock or days-of-supply threshold.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,160,141,160,105,32,102,32,140,16.1,26.66,B,Y,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,MEDIUM_MOVING,MEDIUM_PRIORITY,0.8,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,9.8,6.34,1568.0,0.0,22,9,53,53,9.9392,50,35,0.868,7.0,2.0,0.1396626570048309,LOW,57.2,,,92.7,4.95,135.828,,,,0.002,5.0,4.0,6.34,1568.0,297.92,1.28,20.0,0.0,0.0,20.85,187.66,336.02,100.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1014.4,192.74,20.85,187.66,0.0,0.0,943.69,0.0,380.4,943.69,EXPIRY_COST,MEDIUM,SCRAP_OR_QUARANTINE_EXPIRED,Cost exposure aligns with the current status and recommended action.,Main cost driver is expiry cost with total relevant cost 943.69. No immediate order cost is counted because primary action is reduce_future_orders. Overstock cost is driven by both max-stock excess and days-of-supply excess. Expiry or near-expiry exposure contributes to cost. Supplier return recovery is unavailable or missing.,NO_RECOMMENDED_ORDER_COST;COST_USES_FALLBACKS;OVERSTOCK_COST_ACTIVE;EXPIRY_COST_ACTIVE;RETURN_POLICY_UNAVAILABLE;SUPPLIER_RISK_COST_ACTIVE
SKU-SUP-004,Winter Soup Mix 400g,Grocery,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,-18,-19,-18,1200,327,924,327,2124,0.0,32.19,A,Y,F,VITAL,NON_SEASONAL,EXPIRY_TRACKED,FAST_MOVING,CRITICAL_PRIORITY,0.99,UNKNOWN,UNKNOWN,False,True,True,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,5.4,5.53,-97.2,18.0,28,6,0,0,37.2818,250,200,0.935,16.0,2.0,0.0632500674004917,LOW,180.0,,,73.15,36.9873,586.95,,,,0.006,5.0,4.0,5.53,0.0,0.0,0.0,30.0,504.0,4697.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6636.0,180.0,73.15,36.99,586.95,995.4,8508.49,1200.0,6636.0,1260.84,81.55,489.28,31.48,0.0,534.0,8508.49,6479.1,13771.47,PURCHASE_COST,CRITICAL,EXPEDITE_REPLENISHMENT,Cost risk is CRITICAL; review the dominant driver before final action.,Main cost driver is purchase cost with total relevant cost 13771.47. Recommended action cost is 8508.49. Stock availability risk is included in the cost exposure. Current stockout cost is active. Expedite cost is included because the action recommends urgent recovery.,COST_USES_FALLBACKS;CURRENT_STOCKOUT_COST_ACTIVE;EXPECTED_STOCKOUT_RISK_ACTIVE;STOCKOUT_DURATION_UNKNOWN;HIGH_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,NEWSVENDOR_CANDIDATE,SINGLE_PERIOD,UNKNOWN_STATUS,EXPIRED_STOCK;SPOILAGE_RISK;SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK;PARAMETER_INCONSISTENCY,REVIEW_POLICY_PARAMETERS,NO_ACTION,HIGH,Policy parameters are inconsistent: max_stock_level is below reorder_point.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;PERISHABLE_ORDER_CAPPED;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,35,32,35,405,45,426,45,296,1.66,20.83,A,X,S,IMPORTANT,NON_SEASONAL,SPOILAGE_RISK,SLOW_MOVING,LIQUIDATION_PRIORITY,0.705,UNKNOWN,UNKNOWN,False,True,True,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,3.8,6.81,133.0,0.0,24,8,0,35,21.1271,170,135,0.929,18.0,2.0,0.0755950674004917,LOW,183.6,,,70.0,28.224,172.53,,,,0.0015,5.0,4.0,6.81,133.0,25.27,0.21,15.0,0.0,0.0,0.0,0.0,238.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,238.35,45.29,0.0,0.0,0.0,0.0,278.83,0.0,45.29,278.83,EXPIRY_COST,MEDIUM,REVIEW_POLICY_PARAMETERS,Cost exposure aligns with the current status and recommended action.,Main cost driver is expiry cost with total relevant cost 278.83. No immediate order cost is counted because primary action is review_policy_parameters. Expiry or near-expiry exposure contributes to cost.,NO_RECOMMENDED_ORDER_COST;COST_USES_FALLBACKS;EXPIRY_COST_ACTIVE;SUPPLIER_RISK_COST_ACTIVE
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,BASE_STOCK,CONTINUOUS_REVIEW,OVERSTOCK,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,NO_ACTION,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY,720,634,720,0,84,327,84,720,56.44,56.44,B,Y,S,IMPORTANT,SEASONAL_DRAWDOWN,NON_PERISHABLE,SLOW_MOVING,MEDIUM_PRIORITY,0.9,UNKNOWN,UNKNOWN,False,True,True,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,12.5,7.24,9000.0,0.0,18,12,0,0,12.7569,195,155,0.923,19.0,2.0,0.1687348674004918,LOW,187.2,,,71.05,33.0939,293.60100000000006,,,,0.025,5.0,4.0,7.24,9000.0,1710.0,72.0,15.0,0.0,0.0,452.11,5425.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,5212.8,990.43,452.11,5425.26,0.0,180.0,7222.26,0.0,6595.69,7402.26,OVERSTOCK_COST,HIGH,REDUCE_FUTURE_ORDERS,Cost risk is HIGH; review the dominant driver before final action.,Main cost driver is overstock cost with total relevant cost 7402.26. Overstock cost is driven by days of supply above the configured threshold. Supplier return recovery is unavailable or missing.,COST_USES_FALLBACKS;OVERSTOCK_COST_ACTIVE;RETURN_POLICY_UNAVAILABLE;NO_RECOMMENDED_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE;PHASE4_COST_RISK_INFORMATIONAL
SKU-UMR-007,Compact Umbrella,Accessories,BASE_STOCK,CONTINUOUS_REVIEW,CRITICAL_LOW_STOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE,ORDER_RECOMMENDED_QUANTITY,NO_ACTION,HIGH,Inventory position is at or below safety stock.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER,8,8,8,75,22,70,22,83,1.18,12.24,A,X,S,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,SLOW_MOVING,MEDIUM_PRIORITY,0.915,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,14.0,14.38,112.0,0.0,26,10,0,0,6.779,35,25,0.945,7.0,2.0,0.0651632575757575,LOW,35.0,,,113.3,9.792000000000002,25.9875,,,,0.03,5.0,4.0,14.38,112.0,21.28,0.96,10.0,0.0,317.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.5,35.0,113.3,9.79,25.99,0.0,1262.58,83.0,1193.54,226.77,0.0,0.0,5.27,0.0,32.24,1262.58,549.3,1617.35,PURCHASE_COST,MEDIUM,REVIEW_POLICY_PARAMETERS,Cost exposure aligns with the current status and recommended action.,Main cost driver is purchase cost with total relevant cost 1617.35. Recommended action cost is 1262.58.,COST_USES_FALLBACKS;EXPECTED_STOCKOUT_RISK_ACTIVE;STOCKOUT_DURATION_UNKNOWN;SUPPLIER_RISK_COST_ACTIVE
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,CONTINUOUS_REVIEW_sQ,CONTINUOUS_REVIEW,STOCKOUT,SUPPLIER_REVIEW_REQUIRED;WATCHLIST_SUPPLIER;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;HIGH_MOQ_OVERSTOCK_RISK,EXPEDITE_ORDER,USE_FAST_RELIABLE_SUPPLIER,URGENT,"Stockout on critical or vital SKU requires urgent recovery. Supplier review/watchlist signal is active, so use the fastest reliable approved path.",True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;STOCKOUT_ORDER_BOOSTED;LOW_YIELD_REQUIRES_EXTRA_ORDERING;BATCH_ROUNDING_INCREASED_ORDER;ORDER_QUANTITY_CAPPED_BY_EXPIRY_OR_MOVEMENT;HIGH_MOQ_MAY_CAUSE_OVERSTOCK,-6,-6,-6,400,67,119,67,519,0.0,140.58,C,Z,F,VITAL,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,CRITICAL_PRIORITY,0.99,UNKNOWN,UNKNOWN,False,True,True,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,7.2,9.79,-43.2,6.0,40,4,0,0,2.8453,250,200,0.929,18.0,2.0,0.1850350674004917,LOW,183.6,,,73.15,36.9873,274.77,,,,0.002,5.0,4.0,9.79,0.0,0.0,0.0,25.0,240.0,512.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3916.0,183.6,73.15,36.99,274.77,587.4,5071.91,400.0,3916.0,744.04,143.92,575.69,54.34,0.0,265.0,5071.91,1886.23,5903.41,PURCHASE_COST,CRITICAL,EXPEDITE_REPLENISHMENT,Cost risk is CRITICAL; review the dominant driver before final action.,Main cost driver is purchase cost with total relevant cost 5903.41. Recommended action cost is 5071.91. Stock availability risk is included in the cost exposure. Current stockout cost is active. Expedite cost is included because the action recommends urgent recovery.,COST_USES_FALLBACKS;CURRENT_STOCKOUT_COST_ACTIVE;EXPECTED_STOCKOUT_RISK_ACTIVE;STOCKOUT_DURATION_UNKNOWN;HIGH_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE
SKU-FIL-009,Replacement Water Filter,Home,ONE_TO_ONE_REPLACEMENT,ONE_TO_ONE,OVERSTOCK,NON_MOVING;SUPPLIER_REVIEW_REQUIRED;PHASE4_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,LIQUIDATE_DEAD_STOCK,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;PHASE4_REVIEW_BEFORE_FINAL_POLICY;NO_ORDER_RECOMMENDED_FOR_ONE_TO_ONE;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,96,85,96,0,11,25,11,11,95.47,95.47,C,Z,N,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,NON_MOVING,MEDIUM_PRIORITY,0.9,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,11.3,20.74,1084.8,0.0,20,5,0,0,1.0055,55,40,0.973,13.0,2.0,0.0826031213017751,LOW,98.8,,,130.0,1.134,8.64,,,,0.018,5.0,4.0,20.74,1084.8,206.11,6.91,10.0,0.0,0.0,85.0,425.0,0.0,0.0,0.0,0.0,213.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,1991.04,378.3,85.0,425.0,0.0,21.7,861.05,0.0,824.99,882.74,OVERSTOCK_COST,HIGH,WAIT_FOR_TRIGGER,Cost risk is HIGH; review the dominant driver before final action.,Main cost driver is overstock cost with total relevant cost 882.74. Overstock cost is driven by both max-stock excess and days-of-supply excess. Supplier return recovery is unavailable or missing.,COST_USES_FALLBACKS;OVERSTOCK_COST_ACTIVE;RETURN_POLICY_UNAVAILABLE;NO_RECOMMENDED_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE;PHASE4_COST_RISK_INFORMATIONAL
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,EVENT_BASED_REPLENISHMENT,EVENT_BASED,OVERSTOCK,SUPPLIER_REVIEW_REQUIRED;POLICY_REVIEW_REQUIRED;QUANTITY_CONSTRAINT_ACTIVE;NO_ORDER_RECOMMENDED;EXISTING_INVENTORY_CAP_ACTIVE;OVERSTOCK_RISK_BY_DAYS_OF_SUPPLY,REDUCE_FUTURE_ORDERS,NO_ACTION,MEDIUM,Inventory exceeds max stock or days-of-supply threshold.,True,True,SUPPLIER_REVIEW_BEFORE_ORDER;NO_ORDER_RECOMMENDED_FOR_EVENT_BASED;ORDER_QUANTITY_CAPPED_BY_EXISTING_INVENTORY,310,286,310,0,6,9,0,6,448.89,448.89,C,Z,F,IMPORTANT,NON_SEASONAL,NON_PERISHABLE,FAST_MOVING,MEDIUM_PRIORITY,0.94,UNKNOWN,UNKNOWN,False,True,True,False,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,16.5,18.48,5115.0,0.0,32,14,0,0,0.6906,45,30,0.88,4.0,2.0,0.0940776570048309,LOW,55.0,,,91.35,5.8401,103.32,,,,0.015,5.0,4.0,18.48,5115.0,971.85,18.6,25.0,0.0,0.0,304.0,4256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,5728.8,1088.47,304.0,4256.0,0.0,0.0,5271.45,0.0,5344.47,5271.45,OVERSTOCK_COST,HIGH,WAIT_FOR_TRIGGER,Cost risk is HIGH; review the dominant driver before final action.,Main cost driver is overstock cost with total relevant cost 5271.45. Overstock cost is driven by both max-stock excess and days-of-supply excess. Supplier return recovery is unavailable or missing.,COST_USES_FALLBACKS;OVERSTOCK_COST_ACTIVE;RETURN_POLICY_UNAVAILABLE;NO_RECOMMENDED_ORDER_COST;SUPPLIER_RISK_COST_ACTIVE
