summary_type,group_name,sku_count,scenario_count,feasible_scenario_count,infeasible_scenario_count,human_review_scenario_count,average_selected_cost,total_selected_cost,total_baseline_cost,total_cost_saving_vs_baseline,average_cost_saving_pct,selected_requires_human_review_count,total_selected_operational_cost,total_baseline_operational_cost,total_operational_cost_saving_vs_baseline,total_selected_risk_penalty_cost,total_baseline_risk_penalty_cost,total_risk_penalty_avoidance_vs_baseline,total_selected_constraint_penalty_cost,total_baseline_constraint_penalty_cost,total_constraint_penalty_avoidance_vs_baseline,total_selected_penalty_adjusted_cost,total_baseline_penalty_adjusted_cost,total_penalty_adjusted_saving_vs_baseline,penalty_driven_saving_count,operational_saving_count,cost_increase_with_risk_reduction_count,total_hard_blocker_count,total_major_risk_count,total_review_required_count,total_soft_warning_count,selected_hard_blocker_count,selected_major_risk_count,selected_review_required_count,selected_soft_warning_count,average_constraint_penalty,average_review_penalty,average_soft_warning_penalty
ALL_SKUS,ALL,32,641,641,0,573,5191.97,166143.04,365428.05,199285.01,0.5088,17,118393.04,249078.05,130685.01,17750.0,47350.0,29600.0,30000.0,69000.0,39000.0,166143.04,365428.05,199285.01,13,4,0,0,366,636,1207,0,10,17,70,1712.95,496.1,188.3
BY_SELECTION_STATUS,SELECTED_LOWEST_COST_WITH_HUMAN_REVIEW,17,339,339,0,337,7989.7,135824.93,282134.14,146309.21,0.397,17,93237.43,218384.14,125146.71,12587.5,27750.0,15162.5,30000.0,36000.0,6000.0,135824.93,282134.14,146309.21,2,0,0,0,196,493,693,0,10,17,39,1734.51,727.14,204.42
BY_SELECTION_STATUS,SELECTED_LOWEST_FEASIBLE_COST,15,302,302,0,236,2021.21,30318.11,83293.91,52975.8,0.6354,0,25155.61,30693.91,5538.3,5162.5,19600.0,14437.5,0.0,33000.0,33000.0,30318.11,83293.91,52975.8,11,4,0,0,170,143,514,0,0,0,31,1688.74,236.75,170.2
BY_SELECTED_SCENARIO_NAME,DECREASE_BUFFER__LIQUIDATE_DEAD_STOCK,5,66,66,0,58,3367.5,16837.5,21706.78,4869.28,0.1985,4,13737.5,18606.78,4869.28,3100.0,3100.0,0.0,0.0,0.0,0.0,16837.5,21706.78,4869.28,0,1,0,0,0,78,129,0,0,4,11,0.0,590.91,195.45
BY_SELECTED_SCENARIO_NAME,DELAY_NONURGENT_ORDER,12,274,274,0,256,8681.3,104175.55,239160.39,134984.84,0.5017,11,66175.55,186910.39,120734.84,8000.0,22250.0,14250.0,30000.0,30000.0,0.0,104175.55,239160.39,134984.84,0,1,0,0,174,368,588,0,10,10,30,1905.11,671.53,214.6
BY_SELECTED_SCENARIO_NAME,EXPEDITE_DELIVERY,1,10,10,0,6,7029.27,7029.27,7842.96,813.69,0.1037,0,6829.27,7642.96,813.69,200.0,200.0,0.0,0.0,0.0,0.0,7029.27,7842.96,813.69,0,1,0,0,0,6,15,0,0,0,2,0.0,300.0,150.0
BY_SELECTED_SCENARIO_NAME,INCREASE_BUFFER__FAST_RELIABLE_SUPPLIER__SPLIT_DELIVERY,1,17,17,0,17,13025.47,13025.47,18424.34,5398.87,0.293,1,11831.72,13974.34,2142.62,1193.75,1450.0,256.25,0.0,3000.0,3000.0,13025.47,18424.34,5398.87,1,0,0,0,11,29,26,0,0,2,1,1941.18,852.94,152.94
BY_SELECTED_SCENARIO_NAME,INCREASE_BUFFER__SPLIT_DELIVERY,12,253,253,0,231,1964.28,23571.32,76158.37,52587.05,0.7146,1,18515.07,20008.37,1493.3,5056.25,20150.0,15093.75,0.0,36000.0,36000.0,23571.32,76158.37,52587.05,12,0,0,0,181,150,410,0,0,1,24,2146.25,296.44,162.06
BY_SELECTED_SCENARIO_NAME,TIGHTEN_ORDER_CAP__RETURN_TO_SUPPLIER_IF_ALLOWED,1,21,21,0,5,1503.93,1503.93,2135.21,631.28,0.2957,0,1303.93,1935.21,631.28,200.0,200.0,0.0,0.0,0.0,0.0,1503.93,2135.21,631.28,0,1,0,0,0,5,39,0,0,0,2,0.0,119.05,185.71
BY_SELECTED_BUFFER_STRATEGY,CURRENT_BUFFER,14,305,305,0,267,8050.62,112708.75,249138.56,136429.81,0.4586,11,74308.75,196488.56,122179.81,8400.0,22650.0,14250.0,30000.0,30000.0,0.0,112708.75,249138.56,136429.81,0,3,0,0,174,379,642,0,10,10,34,1711.48,621.31,210.49
BY_SELECTED_BUFFER_STRATEGY,DECREASE_BUFFER,5,66,66,0,58,3367.5,16837.5,21706.78,4869.28,0.1985,4,13737.5,18606.78,4869.28,3100.0,3100.0,0.0,0.0,0.0,0.0,16837.5,21706.78,4869.28,0,1,0,0,0,78,129,0,0,4,11,0.0,590.91,195.45
BY_SELECTED_BUFFER_STRATEGY,INCREASE_BUFFER,13,270,270,0,248,2815.14,36596.79,94582.71,57985.92,0.6821,2,30346.79,33982.71,3635.92,6250.0,21600.0,15350.0,0.0,39000.0,39000.0,36596.79,94582.71,57985.92,13,0,0,0,192,179,436,0,0,3,25,2133.33,331.48,161.48
