location_id,zone,aisle,rack,shelf,bin,x,y,z,map_x,map_y,map_z,map_zone,map_label,capacity_m3,capacity_kg,current_utilization_pct,projected_utilization_pct,current_weight_utilization_pct,projected_weight_utilization_pct,current_location_status,projected_location_status,location_status,current_over_capacity_flag,projected_over_capacity_flag,current_capacity_pressure_flag,projected_capacity_pressure_flag,assigned_primary_skus,assigned_replenishment_skus,assigned_quarantine_skus,assigned_fefo_skus,assigned_trace_only_batches,location_role_summary,location_role_warning_flags,location_role_info_flags,location_warning_flags,visual_layer,visual_color_group,visual_color_name,visual_priority,visual_label,visual_hover_text,visual_problem_summary,show_on_2d_map,show_on_3d_map
LOC-RC-001,RECEIVING,R1,A,1,,6.0,5.0,1.0,6.0,5.0,1.0,RECEIVING,LOC-RC-001,35.0,2400.0,49.94,252.8,52.2,111.82,UNDERUTILIZED,OVER_CAPACITY,OVER_CAPACITY,False,True,False,False,SKU-FIL-009,SKU-COF-001;SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-COMP-WHEEL-ROAD-700C;SKU-COMP-WHEEL-MT-29;SKU-COMP-FRAME-ROAD-001;SKU-COMP-FRAME-MT-001;SKU-COMP-TIRE-MT-29;SKU-COMP-TIRE-ROAD-700C;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001,,,,PRIMARY_AND_REPLENISHMENT,,LOCATION_HAS_PRIMARY_AND_STAGING_ROLES,INSUFFICIENT_SPACE_AFTER_ORDER;PROJECTED_LOCATION_OVER_CAPACITY;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,PROJECTED_OVER_CAPACITY,ORANGE,3,LOC-RC-001 | RECEIVING | Projected 253%,Location: LOC-RC-001 | Zone: RECEIVING | Current utilization: 50% | Projected utilization: 253% | Current status: UNDERUTILIZED | Projected status: OVER_CAPACITY | Primary SKUs: SKU-FIL-009 | Replenishment SKUs: SKU-COF-001;SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-COMP-WHEEL-ROAD-700C;SKU-COMP-WHEEL-MT-29;SKU-COMP-FRAME-ROAD-001;SKU-COMP-FRAME-MT-001;SKU-COMP-TIRE-MT-29;SKU-COMP-TIRE-ROAD-700C;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001 | Warnings: INSUFFICIENT_SPACE_AFTER_ORDER; PROJECTED_LOCATION_OVER_CAPACITY; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: LOCATION_HAS_PRIMARY_AND_STAGING_ROLES; OVER_CAPACITY,INSUFFICIENT_SPACE_AFTER_ORDER; PROJECTED_LOCATION_OVER_CAPACITY; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-PL-001,PALLET_STORAGE,P1,A,1,,14.0,12.0,1.0,14.0,12.0,1.0,PALLET_STORAGE,LOC-PL-001,90.0,9000.0,56.0,56.0,56.0,56.0,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,,,,,,EMPTY,,,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,LOCATION_BASE,NORMAL,GREEN,100,LOC-PL-001 | PALLET_STORAGE | Projected 56%,Location: LOC-PL-001 | Zone: PALLET_STORAGE | Current utilization: 56% | Projected utilization: 56% | Current status: HEALTHY | Projected status: HEALTHY | Warnings: BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED | Info: HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,True,True
LOC-PL-002,PALLET_STORAGE,P2,B,2,,24.0,16.0,2.0,24.0,16.0,2.0,PALLET_STORAGE,LOC-PL-002,84.0,8500.0,83.07,83.07,68.94,68.94,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,SKU-COMP-TIRE-MT-29,,,,,PRIMARY_ONLY,,,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,PRIMARY_STORAGE,GREEN,90,LOC-PL-002 | PALLET_STORAGE | Projected 83%,Location: LOC-PL-002 | Zone: PALLET_STORAGE | Current utilization: 83% | Projected utilization: 83% | Current status: HEALTHY | Projected status: HEALTHY | Primary SKUs: SKU-COMP-TIRE-MT-29 | Warnings: BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-CP-001,CASE_PICKING,C1,A,2,,10.0,24.0,2.0,10.0,24.0,2.0,CASE_PICKING,LOC-CP-001,45.0,3500.0,78.0,78.0,78.0,78.0,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,,,,,BATCH-002-01;BATCH-002-02,EMPTY,,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,LOCATION_BASE,NORMAL,GREEN,100,LOC-CP-001 | CASE_PICKING | Projected 78%,Location: LOC-CP-001 | Zone: CASE_PICKING | Current utilization: 78% | Projected utilization: 78% | Current status: HEALTHY | Projected status: HEALTHY | Trace-only batches: BATCH-002-01;BATCH-002-02 | Warnings: BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED | Info: TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY; HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,True,True
LOC-EP-001,EACH_PICKING,E1,A,3,,8.0,30.0,3.0,8.0,30.0,3.0,EACH_PICKING,LOC-EP-001,20.0,1200.0,92.36,98.36,83.27,87.6,CAPACITY_PRESSURE,CAPACITY_PRESSURE,CAPACITY_PRESSURE,False,False,True,True,SKU-COMP-BRAKE-FRONT-001,SKU-COMP-BRAKE-FRONT-001,,,,PRIMARY_AND_REPLENISHMENT,,LOCATION_HAS_PRIMARY_AND_STAGING_ROLES,PROJECTED_CAPACITY_PRESSURE;CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,CAPACITY_PRESSURE,YELLOW,13,LOC-EP-001 | EACH_PICKING | Projected 98%,Location: LOC-EP-001 | Zone: EACH_PICKING | Current utilization: 92% | Projected utilization: 98% | Current status: CAPACITY_PRESSURE | Projected status: CAPACITY_PRESSURE | Primary SKUs: SKU-COMP-BRAKE-FRONT-001 | Replenishment SKUs: SKU-COMP-BRAKE-FRONT-001 | Warnings: PROJECTED_CAPACITY_PRESSURE; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: LOCATION_HAS_PRIMARY_AND_STAGING_ROLES; CAPACITY_PRESSURE,PROJECTED_CAPACITY_PRESSURE; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-FP-001,FAST_PICK,F1,A,1,,12.0,8.0,1.0,12.0,8.0,1.0,FAST_PICK,LOC-FP-001,40.0,2800.0,45.0,45.0,45.0,45.0,UNDERUTILIZED,UNDERUTILIZED,UNDERUTILIZED,False,False,False,False,SKU-COF-001,,,,,PRIMARY_ONLY,,,LOW_LOCATION_UTILIZATION;CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,PRIMARY_STORAGE,GREEN,90,LOC-FP-001 | FAST_PICK | Projected 45%,Location: LOC-FP-001 | Zone: FAST_PICK | Current utilization: 45% | Projected utilization: 45% | Current status: UNDERUTILIZED | Projected status: UNDERUTILIZED | Primary SKUs: SKU-COF-001 | Warnings: LOW_LOCATION_UTILIZATION; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: UNDERUTILIZED,LOW_LOCATION_UTILIZATION; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-SP-001,SLOW_PICK,S1,C,4,,42.0,28.0,4.0,42.0,28.0,4.0,SLOW_PICK,LOC-SP-001,30.0,1800.0,73.33,73.33,67.39,67.39,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001;SKU-COMP-PEDAL-SET-001,,,,,PRIMARY_ONLY,,,CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,PRIMARY_STORAGE,GREEN,90,LOC-SP-001 | SLOW_PICK | Projected 73%,Location: LOC-SP-001 | Zone: SLOW_PICK | Current utilization: 73% | Projected utilization: 73% | Current status: HEALTHY | Projected status: HEALTHY | Primary SKUs: SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001;SKU-COMP-PEDAL-SET-001 | Warnings: CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: HEALTHY,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-BK-001,BULK_STORAGE,B1,A,1,,48.0,20.0,1.0,48.0,20.0,1.0,BULK_STORAGE,LOC-BK-001,160.0,15000.0,74.44,74.44,67.73,67.73,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,SKU-COMP-TIRE-ROAD-700C;SKU-BBQ-006,,,,,PRIMARY_ONLY,,,CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,PRIMARY_STORAGE,GREEN,90,LOC-BK-001 | BULK_STORAGE | Projected 74%,Location: LOC-BK-001 | Zone: BULK_STORAGE | Current utilization: 74% | Projected utilization: 74% | Current status: HEALTHY | Projected status: HEALTHY | Primary SKUs: SKU-COMP-TIRE-ROAD-700C;SKU-BBQ-006 | Warnings: CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: HEALTHY,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
LOC-RT-001,RETURNS,R2,A,1,,50.0,6.0,1.0,50.0,6.0,1.0,RETURNS,LOC-RT-001,18.0,1300.0,78.0,78.0,78.0,78.0,HEALTHY,HEALTHY,HEALTHY,False,False,False,False,,,,,,EMPTY,,,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,LOCATION_BASE,NORMAL,GREEN,100,LOC-RT-001 | RETURNS | Projected 78%,Location: LOC-RT-001 | Zone: RETURNS | Current utilization: 78% | Projected utilization: 78% | Current status: HEALTHY | Projected status: HEALTHY | Warnings: BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED | Info: HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,True,True
LOC-QA-001,QUARANTINE,Q1,A,1,,54.0,12.0,1.0,54.0,12.0,1.0,QUARANTINE,LOC-QA-001,15.0,900.0,90.73,90.73,91.47,91.47,CAPACITY_PRESSURE,CAPACITY_PRESSURE,CAPACITY_PRESSURE,False,False,True,True,,,SKU-SUN-003;SKU-CHC-005,,,QUARANTINE_ONLY,,,PROJECTED_CAPACITY_PRESSURE;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,LOCATION_BASE,CAPACITY_PRESSURE,YELLOW,13,LOC-QA-001 | QUARANTINE | Projected 91%,Location: LOC-QA-001 | Zone: QUARANTINE | Current utilization: 91% | Projected utilization: 91% | Current status: CAPACITY_PRESSURE | Projected status: CAPACITY_PRESSURE | Quarantine batches: SKU-SUN-003;SKU-CHC-005 | Warnings: PROJECTED_CAPACITY_PRESSURE; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED | Info: CAPACITY_PRESSURE,PROJECTED_CAPACITY_PRESSURE; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,True,True
