summary_type,group_name,total_current_inventory_cost,total_recommended_action_cost,total_projected_cost_after_action,total_relevant_inventory_cost,sku_count
ALL_SKUS,ALL_SKUS,87265.03,112939.05,111882.03,232601.6,32
BY_MAIN_COST_DRIVER,DEAD_STOCK_COST,1876.57,0.0,844.99,1898.26,1
BY_MAIN_COST_DRIVER,EXPIRY_COST,1995.87,0.0,458.04,1995.87,2
BY_MAIN_COST_DRIVER,OVERSTOCK_COST,74557.05,0.0,54720.51,76638.55,12
BY_MAIN_COST_DRIVER,PURCHASE_COST,8835.54,112939.05,55858.49,152068.92,17
BY_COST_RISK_LEVEL,CRITICAL,44403.08,105020.48,75438.6,175879.02,10
BY_COST_RISK_LEVEL,HIGH,41247.78,0.0,29513.83,42276.97,10
BY_COST_RISK_LEVEL,MEDIUM,1614.17,7918.57,6929.6,14445.61,12
BY_MAIN_INVENTORY_STATUS,CRITICAL_LOW_STOCK,7461.12,86784.57,41079.18,115423.64,13
BY_MAIN_INVENTORY_STATUS,OVERSTOCK,76433.62,0.0,55565.5,78536.81,13
BY_MAIN_INVENTORY_STATUS,REORDER_NOW,560.42,7391.33,3055.67,9368.68,1
BY_MAIN_INVENTORY_STATUS,STOCKOUT,799.0,13580.4,8365.33,19674.88,2
BY_MAIN_INVENTORY_STATUS,UNKNOWN_STATUS,1995.87,0.0,458.04,1995.87,2
BY_MAIN_INVENTORY_STATUS,ZERO_STOCK,15.0,5182.75,3358.31,7601.72,1
BY_ACTION_PRIORITY,HIGH,10032.41,99358.65,47951.2,134389.91,17
BY_ACTION_PRIORITY,MEDIUM,76433.62,0.0,55565.5,78536.81,13
BY_ACTION_PRIORITY,URGENT,799.0,13580.4,8365.33,19674.88,2
BY_INVENTORY_MODEL_TYPE,CONTINUOUS_REVIEW_sQ,61494.71,111823.9,92512.13,205072.11,24
BY_INVENTORY_MODEL_TYPE,EVENT_BASED_REPLENISHMENT,17886.39,1115.15,14741.03,19501.87,4
BY_INVENTORY_MODEL_TYPE,NEWSVENDOR_CANDIDATE,1578.86,0.0,391.34,1578.86,1
BY_INVENTORY_MODEL_TYPE,ONE_TO_ONE_REPLACEMENT,6305.07,0.0,4237.53,6448.76,3
BY_CATEGORY,Accessories,54.48,1115.15,585.43,1489.96,1
BY_CATEGORY,Beverages,15.0,5182.75,3358.31,7601.72,1
BY_CATEGORY,Bicycles,6263.96,78866.0,34216.28,101395.04,2
BY_CATEGORY,Confectionery,417.01,0.0,66.7,417.01,1
BY_CATEGORY,Electronics,265.0,5071.91,1886.23,5903.41,1
BY_CATEGORY,Grocery,1094.42,15899.82,9534.77,23140.15,2
BY_CATEGORY,Home,1876.57,0.0,844.99,1898.26,1
BY_CATEGORY,Maintenance Spare Parts,1142.68,6803.42,6277.47,12538.64,10
BY_CATEGORY,Outdoor,11139.0,0.0,8730.43,11319.0,1
BY_CATEGORY,Personal Care,1578.86,0.0,391.34,1578.86,1
BY_CATEGORY,Stationery,6275.9,0.0,5358.47,6275.9,1
BY_CATEGORY,UNKNOWN,57142.15,0.0,40631.61,59043.65,10
