summary_type,group_name,sku_count,average_pressure_score,average_confidence_score,human_review_count,mandatory_review_count,increase_buffer_count,decrease_buffer_count,keep_stable_count,mixed_signals_count,review_only_count
ALL_SKUS,ALL,32,0.899,0.382,32,32,0,0,0,30,2
BY_RECOMMENDED_DIRECTION,MIXED_SIGNALS,30,0.915,0.367,30,30,0,0,0,30,0
BY_RECOMMENDED_DIRECTION,REVIEW_ONLY,2,0.66,0.62,2,2,0,0,0,0,2
BY_HUMAN_REVIEW_LEVEL,MANDATORY_REVIEW,32,0.899,0.382,32,32,0,0,0,30,2
BY_INVENTORY_STATUS,CRITICAL_LOW_STOCK,13,0.848,0.42,13,13,0,0,0,12,1
BY_INVENTORY_STATUS,OVERSTOCK,14,0.967,0.334,14,14,0,0,0,14,0
BY_INVENTORY_STATUS,REORDER_NOW,1,0.92,0.42,1,1,0,0,0,1,0
BY_INVENTORY_STATUS,STOCKOUT,2,1.0,0.32,2,2,0,0,0,2,0
BY_INVENTORY_STATUS,UNKNOWN_STATUS,1,0.6,0.42,1,1,0,0,0,1,0
BY_INVENTORY_STATUS,ZERO_STOCK,1,0.7,0.62,1,1,0,0,0,0,1
BY_COST_RISK_LEVEL,CRITICAL,10,0.962,0.36,10,10,0,0,0,9,1
BY_COST_RISK_LEVEL,HIGH,10,0.954,0.34,10,10,0,0,0,10,0
BY_COST_RISK_LEVEL,MEDIUM,12,0.802,0.437,12,12,0,0,0,11,1
BY_INVENTORY_MODEL_TYPE,BASE_STOCK,1,0.62,0.62,1,1,0,0,0,0,1
BY_INVENTORY_MODEL_TYPE,CONTINUOUS_REVIEW_sQ,24,0.917,0.378,24,24,0,0,0,23,1
BY_INVENTORY_MODEL_TYPE,EVENT_BASED_REPLENISHMENT,2,1.0,0.37,2,2,0,0,0,2,0
BY_INVENTORY_MODEL_TYPE,NEWSVENDOR_CANDIDATE,2,0.8,0.42,2,2,0,0,0,2,0
BY_INVENTORY_MODEL_TYPE,ONE_TO_ONE_REPLACEMENT,3,0.847,0.32,3,3,0,0,0,3,0
BY_CATEGORY,Accessories,1,0.62,0.62,1,1,0,0,0,0,1
BY_CATEGORY,Beverages,1,0.7,0.62,1,1,0,0,0,0,1
BY_CATEGORY,Bicycles,2,1.0,0.32,2,2,0,0,0,2,0
BY_CATEGORY,Confectionery,1,0.6,0.42,1,1,0,0,0,1,0
BY_CATEGORY,Electronics,1,1.0,0.32,1,1,0,0,0,1,0
BY_CATEGORY,Grocery,2,0.96,0.37,2,2,0,0,0,2,0
BY_CATEGORY,Home,1,0.8,0.32,1,1,0,0,0,1,0
BY_CATEGORY,Maintenance Spare Parts,10,0.84,0.42,10,10,0,0,0,10,0
BY_CATEGORY,Outdoor,1,1.0,0.32,1,1,0,0,0,1,0
BY_CATEGORY,Personal Care,1,1.0,0.42,1,1,0,0,0,1,0
BY_CATEGORY,Stationery,1,1.0,0.42,1,1,0,0,0,1,0
BY_CATEGORY,UNKNOWN,10,0.974,0.32,10,10,0,0,0,10,0
BY_WAREHOUSE_REVIEW_RECOMMENDATION,NO_WAREHOUSE_REVIEW,5,0.848,0.38,5,5,0,0,0,4,1
BY_WAREHOUSE_REVIEW_RECOMMENDATION,REVIEW_QUARANTINE_OR_FEFO,2,0.8,0.42,2,2,0,0,0,2,0
BY_WAREHOUSE_REVIEW_RECOMMENDATION,REVIEW_RECEIVING_CAPACITY,23,0.91,0.381,23,23,0,0,0,22,1
BY_WAREHOUSE_REVIEW_RECOMMENDATION,REVIEW_TRAVEL_DISTANCE,2,1.0,0.37,2,2,0,0,0,2,0
BY_SUPPLIER_REVIEW_RECOMMENDATION,REVIEW_SUPPLIER_BEFORE_ORDER,26,0.904,0.385,26,26,0,0,0,24,2
BY_SUPPLIER_REVIEW_RECOMMENDATION,REVIEW_WATCHLIST_SUPPLIER,6,0.88,0.37,6,6,0,0,0,6,0
BY_POLICY_REVIEW_RECOMMENDATION,REVIEW_BASE_STOCK_POLICY,1,0.62,0.62,1,1,0,0,0,0,1
BY_POLICY_REVIEW_RECOMMENDATION,REVIEW_CONTINUOUS_REVIEW,12,0.835,0.437,12,12,0,0,0,11,1
BY_POLICY_REVIEW_RECOMMENDATION,REVIEW_EVENT_BASED_POLICY,1,1.0,0.42,1,1,0,0,0,1,0
BY_POLICY_REVIEW_RECOMMENDATION,REVIEW_NEWSVENDOR_POLICY,2,0.8,0.42,2,2,0,0,0,2,0
BY_POLICY_REVIEW_RECOMMENDATION,REVIEW_PHASE4_PRODUCTION_POLICY,16,0.971,0.32,16,16,0,0,0,16,0
BY_RECOMMENDATION_STRENGTH,REVIEW_ONLY,32,0.899,0.382,32,32,0,0,0,30,2
BY_ORDER_REVIEW_TYPE,PHASE4_ORDER_REVIEW,5,0.908,0.32,5,5,0,0,0,5,0
BY_ORDER_REVIEW_TYPE,RECEIVING_CAPACITY_ORDER_REVIEW,23,0.91,0.381,23,23,0,0,0,22,1
BY_ORDER_REVIEW_TYPE,SUPPLIER_REVIEW_BEFORE_ORDER,4,0.825,0.47,4,4,0,0,0,3,1
BY_ORDER_REVIEW_SEVERITY,HIGH,9,0.871,0.387,9,9,0,0,0,8,1
BY_ORDER_REVIEW_SEVERITY,URGENT,23,0.91,0.381,23,23,0,0,0,22,1
BY_EOQ_REVIEW_RECOMMENDATION,NO_EOQ_REVIEW,32,0.899,0.382,32,32,0,0,0,30,2
BY_SERVICE_LEVEL_GUARDRAIL_ACTION,NO_GUARDRAIL_APPLIED,32,0.899,0.382,32,32,0,0,0,30,2
BY_ROP_GUARDRAIL_ACTION,NO_GUARDRAIL_APPLIED,32,0.899,0.382,32,32,0,0,0,30,2
BY_AUTO_APPLY_ALLOWED,False,32,0.899,0.382,32,32,0,0,0,30,2
BY_BUFFER_ADJUSTMENT_SCOPE,PARAMETER_REVIEW_ONLY,32,0.899,0.382,32,32,0,0,0,30,2
BY_ORDER_REVIEW_INFO_TYPE,NO_ORDER_REVIEW_INFO,32,0.899,0.382,32,32,0,0,0,30,2
BY_ORDER_MODEL_REVIEW_RECOMMENDATION,REVIEW_BASE_STOCK_TARGET,1,0.62,0.62,1,1,0,0,0,0,1
